trip count,tripduration,start date,start time,stop date,stop time,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1,1040,1/1/20,2:58:53 AM,1/1/20,3:16:13 AM,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3199,Newport Pkwy,40.7287448,-74.0321082,29240,Subscriber,1994,Female
1,759,1/1/20,3:00:38 AM,1/1/20,3:13:17 AM,3185,City Hall,40.7177325,-74.043845,3268,Lafayette Park,40.71346383,-74.06285852,26238,Customer,1985,Male
1,145,1/1/20,3:14:59 AM,1/1/20,3:17:25 AM,3640,Journal Square,40.73367,-74.0625,3206,Hilltop,40.7311689,-74.0575736,29531,Subscriber,1991,Male
1,820,1/1/20,3:15:56 AM,1/1/20,3:29:36 AM,3211,Newark Ave,40.72152515,-74.04630454,3268,Lafayette Park,40.71346383,-74.06285852,26431,Subscriber,1989,Male
1,228,1/1/20,3:17:15 AM,1/1/20,3:21:03 AM,3187,Warren St,40.7211236,-74.03805095,3185,City Hall,40.7177325,-74.043845,29551,Subscriber,1988,Male
1,725,1/1/20,3:35:32 AM,1/1/20,3:47:37 AM,3186,Grove St PATH,40.71958612,-74.04311746,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,29299,Subscriber,1988,Male
1,267,1/1/20,3:38:23 AM,1/1/20,3:42:50 AM,3211,Newark Ave,40.72152515,-74.04630454,3278,Monmouth and 6th,40.72568548,-74.04879034,29444,Subscriber,1986,Female
1,173,1/1/20,4:01:43 AM,1/1/20,4:04:36 AM,3203,Hamilton Park,40.72759597,-74.04424731,3273,Manila & 1st,40.72165072,-74.04288411,26180,Subscriber,1990,Male
1,179,1/1/20,4:16:57 AM,1/1/20,4:19:57 AM,3195,Sip Ave,40.7308971,-74.06391263,3194,McGinley Square,40.72533993,-74.06762213,29264,Customer,1989,Male
1,431,1/1/20,5:24:18 AM,1/1/20,5:31:29 AM,3195,Sip Ave,40.7308971,-74.06391263,3210,Pershing Field,40.74267714,-74.05178863,29488,Subscriber,1987,Male
1,466,1/1/20,5:59:10 AM,1/1/20,6:06:56 AM,3195,Sip Ave,40.7308971,-74.06391263,3679,Bergen Ave,40.72210379,-74.071455,29251,Subscriber,1964,Male
1,283,1/1/20,6:22:22 AM,1/1/20,6:27:06 AM,3207,Oakland Ave,40.7376037,-74.0524783,3195,Sip Ave,40.7308971,-74.06391263,29219,Subscriber,1963,Female
